Postal Code,Age,Gender,Latitude,Longitude,Culture Centre,C_Postal_Code,C_Latitude,C_Longitude,Distance (kms)
V1Y 3C3,65 and up,Female,49.87967904,-119.4798412,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,2.298
V1Y 3C3,65 and up,Female,49.87967904,-119.4798412,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,2.221
V1Y 3C3,65 and up,Female,49.87967904,-119.4798412,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,2.414
V1Y 1T8,Undisclosed,Undisclosed,49.870834,-119.491242,Prospera Place,V1Y 9V1,49.892657,-119.496618,2.561
V1Y 8A9,25 to 34,Male,49.8663813,-119.4844554,Prospera Place,V1Y 9V1,49.892657,-119.496618,3.944
V1Y 8A9,25 to 34,Male,49.8663813,-119.4844554,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,3.46
V1Y 8A9,25 to 34,Male,49.8663813,-119.4844554,Okanagan Regional Library,V1Y 2A2,49.889007,-119.493507,3.149
V1Y 8J7,35 to 44,Female,49.876918,-119.477488,Parks Alive!,V1Y 1K2,49.88294,-119.496597,1.948
V1Y 5J4,35 to 44,Female,49.871855,-119.485329,Waterfront Park,V1Y 9R7,49.897295,-119.499295,3.635
V1Y 3J1,25 to 34,Female,49.879371,-119.47691,Waterfront Park,V1Y 9R7,49.897295,-119.499295,3.402
V1Y 3J1,25 to 34,Female,49.879371,-119.47691,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,2.415
V1Y 4Z3,35 to 44,Female,49.864854,-119.494597,,,,,
V1W 3M1,35 to 44,Female,49.848323,-119.47916,,,,,
V1Y 8J1,25 to 34,Female,49.878621,-119.467192,,,,,
V4V 1H5,25 to 34,Female,50.04412,-119.414126,,,,,
V1P 1J3,19 to 24,Female,49.864877,-119.227589,Okanagan Heritage Museum,V1Y 6S7,49.88733,-119.494003,23.782
V1P 1J3,19 to 24,Female,49.864877,-119.227589,Okanagan Military Museum,V1Y 2A5,49.887349,-119.493489,23.761
V1V 2K9,19 to 24,Female,49.90933,-119.461405,,,,,
V1X 7V7,19 to 24,Female,49.94764,-119.352737,,,,,
V1V 3B4,25 to 34,Female,49.901206,-119.4241,,,,,
V1Y 2Y4,35 to 44,Female,49.88418459,-119.482781,,,,,
V1Y 4N8,45 to 54,Female,49.936765,-119.433214,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,8.583
V1Y 4N8,45 to 54,Female,49.936765,-119.433214,Kelowna Actors Studio,V1Y 1Z9,49.889195,-119.493507,8.418
V1Y 4N8,45 to 54,Female,49.936765,-119.433214,Kelowna Farmers' and Crafters' Market,V1Y 9N4,49.883105,-119.437669,7.198
V1Y 4N8,45 to 54,Female,49.936765,-119.433214,Waterfront Park,V1Y 9R7,49.897295,-119.499295,8.559
V1Y 4N8,45 to 54,Female,49.936765,-119.433214,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,8.658
V1W 0A1,55 to 64,Female,49.833732,-119.48361,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,7.127
V1V 1N5,55 to 64,Female,49.901451,-119.428209,,,,,
V1Y 3X5,25 to 34,Female,49.889131,-119.464114,,,,,
V1W 3Z9,55 to 64,Male,49.840604,-119.384903,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,14.55
V1W 3Z9,55 to 64,Male,49.840604,-119.384903,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,14.626
